Wifitype,Street,City,Postcode,Country,Owner,Latitude,Longitude
Outdoor Coverage,Rising Sun Court Long Lane,London,EC1A 9EJ,United Kingdom,BT Openzone,51.5191903,-0.0999552
Outdoor Coverage,Greville Street,London,EC1N 8PQ,United Kingdom,BT Openzone,51.5191578,-0.1085184
Outdoor Coverage,Aldersgate Street,London,EC1A 4JQ,United Kingdom,BT Openzone,51.5209,-0.0978083
Outdoor Coverage,Central Street,London,EC1V 8AP,United Kingdom,BT Openzone,51.5275039,-0.097461
Outdoor Coverage,City Road,London,EC1V 1JB,United Kingdom,BT Openzone,51.5265268,-0.0876986
Outdoor Coverage,Clerkenwell Road,London,EC1M 5SA,United Kingdom,BT Openzone,51.5225348,-0.1049189
Outdoor Coverage,Fann Street,London,EC1Y 0RJ,United Kingdom,BT Openzone,51.522113,-0.0949757
Outdoor Coverage,Goswell Road,London,EC1V 7PB,United Kingdom,BT Openzone,51.5270841,-0.0998572
Outdoor Coverage,Junction  Bath Street Old Street,London,EC1V 9NJ,United Kingdom,BT Openzone,51.5255421,-0.0912862
Outdoor Coverage,Mitchell Street,London,EC1V 8AG,United Kingdom,BT Openzone,51.5262902,-0.0963727
Outdoor Coverage,Moreland Street,London,EC1V 2PW,United Kingdom,BT Openzone,51.5297228,-0.0989832
Outdoor Coverage,Outside Sherston Court Attneave Street,London,EC1R 3AS,United Kingdom,BT Openzone,51.526353,-0.1125019
Outdoor Coverage,Old Street,London,EC1V 9NH,United Kingdom,BT Openzone,51.5253059,-0.0927954
Outdoor Coverage,Old Street,London,EC1V 9BE,United Kingdom,BT Openzone,51.5234494,-0.0975291
Outdoor Coverage,Opposite Owen Street Goswell Road,London,EC1V 2QA,United Kingdom,BT Openzone,51.5310474,-0.1035994
Outdoor Coverage,Roseberry Avenue,London,EC1R 4SP,United Kingdom,BT Openzone,51.523936,-0.1115062
Outdoor Coverage,Spencer Street,London,EC1V 7HX,United Kingdom,BT Openzone,51.5282056,-0.1035877
Outdoor Coverage,St John Street,London,EC1V 4JY,United Kingdom,BT Openzone,51.5247923,-0.1032683
Outdoor Coverage,Tysoe Street,London,EC1R 4QY,United Kingdom,BT Openzone,51.5266842,-0.1084948
Outdoor Coverage,West Smithfield,London,EC1A 9HP,United Kingdom,BT Openzone,51.5195586,-0.1004876
Outdoor Coverage,Holborn Junction with Fetter Lane,London,EC1N 2JD,United Kingdom,BT Openzone,51.5177035,-0.1097894
Payphone,Fetter Lane,London,EC1N 2JD,United Kingdom,BT Openzone,51.5177035,-0.1097894
Outdoor Coverage,Giltspur Road,London,EC1A 7AA,United Kingdom,BT Openzone,51.5162135,-0.1016068
Outdoor Coverage,London Wall,London,EC1A 4AB,United Kingdom,BT Openzone,51.5191662,-0.0973617
Outdoor Coverage,King Edward Street,London,EC1A 7BT,United Kingdom,BT Openzone,51.5168594,-0.0981785
Shop/Commercial Store,10 Old Street,London,EC1V 9AB,United Kingdom,BT Openzone,51.5236157,-0.0972483
Bar/Restaurant,19-20 Great Sutton Street,London,EC1V 0DR,United Kingdom,BT Openzone,51.5232205,-0.1006091
Bar/Restaurant,333 Old Street,London,EC1V 9LE,United Kingdom,BT Openzone,51.5271309,-0.0806381
Bar/Restaurant,23-27 Hatton Wall,London,EC1N 8JJ,United Kingdom,BT Openzone,51.5212967,-0.1095541
Bar/Restaurant,19-25 Cowcross Street,London,EC1M 6DQ,United Kingdom,BT Openzone,51.5203071,-0.103397
Bar/Restaurant,2 St Johns Square,London,EC1M 4DE,United Kingdom,BT Openzone,51.5221171,-0.1035524
Bar/Restaurant,53 St John's Square,London,EC1V 4JL,United Kingdom,BT Openzone,51.5229283,-0.104225
Office,Chiswell Street,London,EC1Y 4XX,United Kingdom,BT Openzone,51.5213021,-0.0921122
Hotel,150 Aldersgate Street,London,EC1A 4EJ,United Kingdom,Swisscom Hospitality Services,51.5182488,-0.1020248
Cafe/Coffee Shop,Unit 3a City Road,London,EC1Y 1AG,United Kingdom,BT Openzone,51.5226904,-0.0868071
